"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2025/08/23","ｶﾌﾞｼｷｶﾞｲｼｬﾄﾞﾐﾉﾋﾟｻ","本人","1回払い","1730","0","1730","1730","0","*"
"2025/08/23","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","486","0","486","486","0","*"
"2025/08/23","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","140","0","140","140","0","*"
"2025/08/23","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","135","0","135","135","0","*"
"2025/08/22","ﾎﾟﾌﾟﾗｸﾞﾙ-ﾌﾟ","本人","1回払い","149","0","149","149","0","*"
"2025/08/21","ﾎﾟﾌﾟﾗｸﾞﾙ-ﾌﾟ","本人","1回払い","238","0","238","238","0","*"
"2025/08/21","ﾌｱﾐﾘ-ﾏ-ﾄﾌﾀｺﾞｵｵﾄﾞｵ","本人","1回払い","320","0","320","320","0","*"
"2025/08/20","ﾊﾞ-ｶﾞ-ｷﾝｸﾞ/NFC","本人","1回払い","1190","0","1190","1190","0","*"
"2025/08/20","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","149","0","149","149","0","*"
"2025/08/19","ﾗｲﾌ ﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","3326","0","3326","3326","0","*"
"2025/08/19","ﾎﾟﾌﾟﾗｸﾞﾙ-ﾌﾟ","本人","1回払い","422","0","422","422","0","*"
"2025/08/18","ｶﾞﾝｿｽﾞｼ ﾐｿﾞﾉｸﾁｴｷﾏ","本人","1回払い","2032","0","2032","2032","0","*"
"2025/08/18","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","615","0","615","615","0","*"
"2025/08/18","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","1245","0","1245","1245","0","*"
"2025/08/18","ﾏﾙｴﾂﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","1480","0","1480","1480","0","*"
"2025/08/17","ﾊﾅﾏﾙｳﾄﾞﾝ/NFC","本人","1回払い","2690","0","2690","2690","0","*"
"2025/08/17","ｿﾞｿﾞﾏﾘﾝｽﾀｼﾞｱﾑ/NFC","本人","1回払い","2400","0","2400","2400","0","*"
"2025/08/17","ｿﾞｿﾞﾏﾘﾝｽﾀｼﾞｱﾑ/NFC","本人","1回払い","1600","0","1600","1600","0","*"
"2025/08/17","ﾓﾊﾞｲﾙﾊﾟｽﾓﾁﾔ-ｼﾞ","本人","1回払い","5000","0","5000","5000","0","*"
"2025/08/17","ﾐﾆｽﾄﾂﾌﾟﾌﾟﾚﾅﾏｸﾊﾘV/","本人","1回払い","261","0","261","261","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","600","0","600","600","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","1600","0","1600","1600","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","1900","0","1900","1900","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","2400","0","2400","2400","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","1600","0","1600","1600","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","300","0","300","300","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","800","0","800","800","0","*"
"2025/08/17","ｲﾍﾞﾝﾄｺﾞﾘﾖｳﾌﾞﾝ","本人","1回払い","900","0","900","900","0","*"
"2025/08/17","ニトリネット","本人","1回払い","29960","0","29960","29960","0","*"
"2025/08/16","V ｾｲｼﾞﾖｳｲｼｲ ﾏﾙｲﾌｱ","本人","1回払い","5680","0","5680","5680","0","*"
"2025/08/16","ﾄﾞﾝｷﾎｰﾃﾐｿﾞﾉｸﾞﾁｴｷﾏ","本人","1回払い","3078","0","3078","3078","0","*"
"2025/08/16","ﾃﾄﾃｦﾘﾐﾃﾂﾄﾞ","本人","1回払い","1830","0","1830","1830","0","*"
"2025/08/16","ｻﾝﾄﾞﾗﾂｸﾞ","本人","1回払い","327","0","327","327","0","*"
"2025/08/16","ﾊﾅｺｳｼﾞﾖｳﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","8353","0","8353","8353","0","*"
"2025/08/16","ﾗｲﾌ ﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","1301","0","1301","1301","0","*"
"2025/08/16","ｻｳﾅﾄｳｷｮｳ","本人","1回払い","1200","0","1200","1200","0","*"
"2025/08/16","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","760","0","760","760","0","*"
"2025/08/16","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","116","0","116","116","0","*"
"2025/08/16","ﾓﾊﾞｲﾙﾊﾟｽﾓﾁﾔ-ｼﾞ","本人","1回払い","5000","0","5000","5000","0","*"
"2025/08/16","ｻｳﾅﾄｳｷｮｳ","本人","1回払い","1700","0","1700","1700","0","*"
"2025/08/16","ニトリ","本人","1回払い","2682","0","2682","2682","0","*"
"2025/08/15","ポプラグループ","本人","1回払い","356","0","356","356","0","*"
"2025/08/15","ﾒｶﾞﾄﾞﾝｷﾎｰﾃｵｵﾓﾘｻﾝﾉ","本人","1回払い","169","0","169","169","0","*"
"2025/08/15","イデミツ（アポロステーション）","本人","1回払い","651","0","651","651","0","*"
"2025/08/14","ﾏﾂﾉﾔﾖｳｶﾞ","本人","1回払い","2170","0","2170","2170","0","*"
"2025/08/14","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","108","0","108","108","0","*"
"2025/08/14","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","972","0","972","972","0","*"
"2025/08/14","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","2819","0","2819","2819","0","*"
"2025/08/14","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","591","0","591","591","0","*"
"2025/08/14","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","170","0","170","170","0","*"
"2025/08/14","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","478","0","478","478","0","*"
"2025/08/13","ﾁｹｼﾞﾔﾑ ｻﾎﾟ-ﾄ","本人","1回払い","22192","0","22192","22192","0","*"
"2025/08/13","ニトリ","本人","1回払い","5950","0","5950","5950","0","*"
"2025/08/13","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","390","0","390","390","0","*"
"2025/08/13","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","1245","0","1245","1245","0","*"
"2025/08/12","ﾁｹｼﾞﾔﾑ ｻﾎﾟ-ﾄ","本人","1回払い","9986","0","9986","9986","0","*"
"2025/08/12","ファミリーマート","本人","1回払い","320","0","320","320","0","*"
"2025/08/12","ｶﾞﾝｿｽﾞｼ ﾐｿﾞﾉｸﾁｴｷﾏ","本人","1回払い","4290","0","4290","4290","0","*"
"2025/08/12","ﾋﾉﾏﾙｼﾞﾄﾞｳｼﾔ/NFC","本人","1回払い","6000","0","6000","6000","0","*"
"2025/08/12","ﾏﾙｴﾂﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","421","0","421","421","0","*"
"2025/08/12","楽天ＳＰ　自販機サントリービバレッアプリ","本人","1回払い","116","0","116","116","0","*"
"2025/08/11","ニトリ","本人","1回払い","178129","0","178129","178129","0","*"
"2025/08/11","ニトリ","本人","1回払い","7740","0","7740","7740","0","*"
"2025/08/11","ｶﾌﾞｼｷｶﾞｲｼｬﾄﾞﾐﾉﾋﾟｻ","本人","1回払い","3470","0","3470","3470","0","*"
"2025/08/11","SQ*ｳﾂﾄﾞﾍﾞﾘｺﾋﾖｳｶﾞ","本人","1回払い","1663","0","1663","1663","0","*"
"2025/08/11","ﾏﾙｲﾌｱﾐﾘ- ﾐｿﾞﾉｸﾁ/N","本人","1回払い","1760","0","1760","1760","0","*"
"2025/08/11","ﾏﾙｲﾌｱﾐﾘ- ﾐｿﾞﾉｸﾁ/N","本人","1回払い","294","0","294","294","0","*"
"2025/08/11","楽天モバイル通信料","本人","1回払い","177","0","177","177","0","*"
"2025/08/10","ﾊﾊﾞﾅｲﾁｷﾕ-ｺﾞ-ｾﾞﾛ","本人","1回払い","20500","0","20500","20500","0","*"
"2025/08/10","ｺｸｻｲｼﾞﾄﾞｳｼﾔ","本人","1回払い","5400","0","5400","5400","0","*"
"2025/08/10","ｻﾝﾄﾞﾗﾂｸﾞ","本人","1回払い","1543","0","1543","1543","0","*"
"2025/08/10","ｻﾝﾄﾞﾗﾂｸﾞ","本人","1回払い","3847","0","3847","3847","0","*"
"2025/08/10","ｱｽｶｺｳﾂｳｶﾌﾞｼｷｶﾞｲｼｬ","本人","1回払い","2100","0","2100","2100","0","*"
"2025/08/09","ﾊﾞﾌﾞﾙﾊｳｽ","本人","1回払い","1950","0","1950","1950","0","*"
"2025/08/09","ﾏﾙｶﾞﾒｾｲﾒﾝ ｶﾜｻｷﾂﾀﾞ","本人","1回払い","2240","0","2240","2240","0","*"
"2025/08/09","ＥＮＥＯＳ－ＳＳ","本人","1回払い","500","0","500","500","0","*"
"2025/08/08","ﾓﾊﾞｲﾙﾊﾟｽﾓﾁﾔ-ｼﾞ","本人","1回払い","5000","0","5000","5000","0","*"
"2025/08/08","楽天でんき","本人","1回払い","2857","0","2857","2857","0","*"
"2025/08/07","東京ミッドタウン八重洲","本人","1回払い","4070","0","4070","4070","0","*"
"2025/08/07","東京ミッドタウン八重洲","本人","1回払い","1320","0","1320","1320","0","*"
"2025/08/07","東京ミッドタウン八重洲","本人","1回払い","2980","0","2980","2980","0","*"
"2025/08/07","ファミリーマート","本人","1回払い","320","0","320","320","0","*"
"2025/08/07","ﾄｳｷﾖｳｽｸｴｱｶﾞ-ﾃﾞﾝ","本人","1回払い","51050","0","51050","51050","0","*"
"2025/08/07","AMAZON.CO.JP","本人","1回払い","2699","0","2699","2699","0","*"
"2025/08/07","ｼﾝﾏﾙﾉｳﾁﾋﾞﾙﾃﾞｲﾝｸﾞ","本人","1回払い","1540","0","1540","1540","0","*"
"2025/08/07","ｼﾝﾏﾙﾉｳﾁﾋﾞﾙﾃﾞｲﾝｸﾞ","本人","1回払い","4400","0","4400","4400","0","*"
"2025/08/06","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","270","0","270","270","0","*"
"2025/08/06","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","380","0","380","380","0","*"
"2025/08/06","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","800","0","800","800","0","*"
"2025/08/06","ﾀｲﾑｽﾞｶ-","本人","1回払い","660","0","660","660","0","*"
"2025/08/06","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","578","0","578","578","0","*"
"2025/08/05","ポプラグループ","本人","1回払い","248","0","248","248","0","*"
"2025/08/05","ポプラグループ","本人","1回払い","194","0","194","194","0","*"
"2025/08/05","ﾊﾞﾌﾞﾙﾊｳｽ","本人","1回払い","1800","0","1800","1800","0","*"
"2025/08/05","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","320","0","320","320","0","*"
"2025/08/04","OPENAI *CHATGPT SUBS利用国US","本人","1回払い","3442","0","3442","3442","0","*"
"","現地利用額　　　　　　　　２２．０００変換レート　１５６．４５５円","","","","","","","",""
"2025/08/04","SQ*ｸﾘｽﾌﾟｻﾗﾀﾞﾜｸｽﾌﾀ","本人","1回払い","2455","0","2455","2455","0","*"
"2025/08/04","ﾄｳｷﾕｳﾌﾀｺﾀﾏｶﾞﾜﾗｲｽﾞ","本人","1回払い","5177","0","5177","5177","0","*"
"2025/08/04","ﾗｲﾌ ﾐｿﾞﾉｸﾁﾃﾝ","本人","1回払い","6513","0","6513","6513","0","*"
"2025/08/03","ｶﾌﾞｼｷｶﾞｲｼｬﾄﾞﾐﾉﾋﾟｻ","本人","1回払い","2069","0","2069","2069","0","*"
"2025/08/03","ｺｶｺ-ﾗｼﾞﾊﾝｷｸｲﾂｸﾍﾟ","本人","1回払い","160","0","160","160","0","*"
"2025/08/02","ローソン銀行ＣＤ","本人","1回払い","20000","552","20552","20552","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","500","0","500","500","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","6000","0","6000","6000","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","600","0","600","600","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","1600","0","1600","1600","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","1600","0","1600","1600","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","800","0","800","800","0","*"
"2025/08/02","ﾚｲｽﾞ","本人","1回払い","2000","0","2000","2000","0","*"
"2025/08/02","ﾏﾙｶﾞﾒｾｲﾒﾝ ｶﾜｻｷﾂﾀﾞ","本人","1回払い","1530","0","1530","1530","0","*"
"2025/08/02","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","4096","0","4096","4096","0","*"
"2025/08/02","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","334","0","334","334","0","*"
"2025/08/02","ファミリーマート","本人","1回払い","320","0","320","320","0","*"
"2025/08/02","ＡＴＭ利用手数料","本人","1回払い","220","0","220","220","0","*"
"2025/08/01","ﾏﾙｲﾌｱﾐﾘ- ﾐｿﾞﾉｸﾁ/N","本人","1回払い","649","0","649","649","0","*"
"2025/08/01","ｶ-ﾈ-ｼﾖﾝ/NFC","本人","1回払い","550","0","550","550","0","*"
"2025/08/01","ﾄｳｷﾖｳﾋﾞﾙ","本人","1回払い","900","0","900","900","0","*"
"2025/08/01","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","130","0","130","130","0","*"
"2025/08/01","ﾉｸﾃｲﾌﾟﾗｻﾞ","本人","1回払い","680","0","680","680","0","*"
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","300","0","300","300","0","*"
"","ﾋｶﾞｼｵｳｲﾁ   ﾜﾝﾋｶﾞｼｱｸｱ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","430","0","430","430","0","*"
"","ｸｳｺｳﾁﾕｳｵｳﾆ ﾋｶﾞｼｵｳﾆｼ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","980","0","980","980","0","*"
"","ﾖｺﾊﾏｺｳﾎｸ   ﾜﾝｶﾞﾝｶﾝﾊﾟ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","890","0","890","890","0","*"
"","ｱｸｱﾜﾝｶﾞﾝﾆｼ ﾀﾞｲｻﾝｹｲﾋﾝ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","1550","0","1550","1550","0","*"
"","ｷｻﾗﾂﾞ ﾀﾞｲ1 ｷﾖﾅﾝﾄﾐﾔﾏ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","340","0","340","340","0","*"
"","ﾎﾄﾞｶﾞﾔ     ｹｲﾋﾝｶﾜｻｷ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","210","0","210","210","0","*"
"","ｹｲﾋﾝｶﾜｻｷ   ｺｳﾎｸ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","1550","0","1550","1550","0","*"
"","ｷﾖﾅﾝﾄﾐﾔﾏ   ｷｻﾗﾂﾞ ﾀﾞｲ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","800","0","800","800","0","*"
"","ｷｻﾗﾂﾞ ﾀﾞｲ1 ｷｻﾗﾂﾞ ﾀﾞｲ","","","","","","","",""
"2025/07/21","ＥＴＣカード売上","ETC","1回払い","400","0","400","400","0","*"
"","ｷｻﾗﾂﾞ ﾀﾞｲ1 ｷｻﾗﾂﾞ ﾀﾞｲ","","","","","","","",""
"2025/07/09","ＥＴＣカード売上","ETC","1回払い","940","0","940","940","0","*"
"","ﾐﾅﾄﾐﾗｲﾉﾎﾞﾘ ｼﾊﾞｺｳｴﾝｿﾄ","","","","","","","",""
"2025/07/08","ＥＴＣカード売上","ETC","1回払い","340","0","340","340","0","*"
"","ｹｲﾋﾝｶﾜｻｷ   ﾎﾄﾞｶﾞﾔ","","","","","","","",""
"2025/06/25","楽天モバイル製品代","本人","分割48回払い(3回目)","26499","0","26499","552","24840",""
